Date,Close,High,Low,Open,Volume
29/06/20,11.76583099,11.79429737,11.48117451,11.49066239,533900
30/06/20,11.87969398,11.90815945,11.71838817,11.74685364,745400
01/07/20,12.03151131,12.08844224,11.89867095,11.90815974,1049300
02/07/20,12.20230579,12.33514616,12.15486365,12.27821431,907100
06/07/20,12.67673397,12.67673397,12.467986,12.51542815,1154100
07/07/20,12.62929344,12.74315623,12.54389612,12.60082707,763100
08/07/20,13.04678917,13.04678917,12.71468872,12.71468872,647800
09/07/20,12.88548279,13.07525408,12.66724603,13.07525408,939200
10/07/20,12.86650562,12.86650562,12.75264195,12.83803925,603100
13/07/20,12.7146883,13.13218605,12.68622283,12.97088022,987600
14/07/20,13.07525539,13.08474419,12.58184999,12.71468945,711500
15/07/20,13.36940098,13.39786645,13.19860636,13.3504234,1717400
16/07/20,13.26502705,13.40735621,13.23656158,13.30298221,1223000
17/07/20,13.48326302,13.48326302,13.3124684,13.38837692,705400
20/07/20,13.72996616,13.77740921,13.56866034,13.57814913,1158700
21/07/20,13.79638672,13.92922708,13.7204782,13.91973829,1392500
22/07/20,13.91024876,13.93871422,13.75843172,13.81536356,785500
23/07/20,13.94820309,14.14746317,13.83434031,13.9387143,1044000
24/07/20,13.69201183,13.75843156,13.52121722,13.72996609,1489400
27/07/20,13.96718121,13.96718121,13.74894353,13.75843232,1281100
28/07/20,13.61610413,13.96718126,13.61610413,13.96718126,903500
29/07/20,13.69201183,13.75843156,13.61610332,13.74894277,934700
30/07/20,13.75843143,13.75843143,13.54968257,13.56866015,886300
31/07/20,13.66354656,13.80587572,13.54019589,13.78689814,1086500
03/08/20,13.99564648,14.02411195,13.68252361,13.80587518,1485600
04/08/20,14.42263222,14.45109769,14.02411204,14.03360083,1701300
05/08/20,14.79268646,14.80217525,14.45109723,14.51751786,1484600
06/08/20,14.84961796,14.96348164,14.73575518,14.84961796,1249400
07/08/20,15.06785583,15.2006962,14.8116639,14.84013027,1804600
10/08/20,15.12478638,15.27660432,15.00143571,15.27660432,1827500
11/08/20,14.87808323,15.31455673,14.84961686,15.31455673,1445200
12/08/20,15.13427639,15.18171944,14.84013108,14.90655082,1363800
13/08/20,15.39046669,15.53279675,15.14376445,15.18171871,1477900
14/08/20,15.2766037,15.46637408,15.22915975,15.3714898,4175700
17/08/20,15.45688725,15.59921549,15.37148994,15.43790966,1414500
18/08/20,15.51381969,15.61819278,15.32404748,15.6087058,1735600
19/08/20,15.57074833,15.78898508,15.56125954,15.58023712,2101900
20/08/20,15.4663744,15.53279593,15.35251253,15.52330714,1424400
21/08/20,15.45688725,15.54228274,15.36200115,15.38097692,1618200
24/08/20,15.64665699,15.73205429,15.51381754,15.65614578,1707100
25/08/20,16.00722313,16.01671011,15.72256486,15.84591732,2008000
